id;cin;nom;matricule;prenom;tel;date_nais
1;40540;Tonga Savings Account Money Market Account;synthesize AI;virtual Tuvalu paradigms;88498;2020-05-24
2;454;Checking Account Tasty West Virginia;Keyboard Wooden;red Steel algorithm;18200;2020-05-24
3;43810;Incredible hard drive;invoice Frozen Garden;Arizona Assurance Analyst;13454;2020-05-24
4;44104;Health synergistic Sleek;Village Virginia;firewall Rubber;48950;2020-05-24
5;62450;turquoise;bypass Soap;AI Communications Highway;443;2020-05-24
6;64594;Bosnia and Herzegovina;Fresh partnerships Borders;1080p;15821;2020-05-24
7;39938;Berkshire;grey Lock 24/365;Dominican Republic reboot;42796;2020-05-24
8;70997;Customer-focused;International orchestrate firewall;open-source;93402;2020-05-24
9;44328;Architect optical panel;Bedfordshire Granite;solid state Synergized;82195;2020-05-24
10;7491;Kids feed haptic;Pants;Money Market Account Tennessee Plastic;65600;2020-05-24
